adm0_a3,value
ALB,3699457
DZA,101401169
AND,598057
AGO,31630380
ATG,818615
ARG,133818201
ARM,3419047
ABW,1596754
AUS,333400082
AUT,498074661
AZE,26901621
BHS,5086069
BHR,9599949
BGD,34143916
BRB,2025108
BLR,37516200
BEL,448185873
BLZ,2791780
BEN,668482
BMU,869086
BTN,1696970
BOL,16230300
BIH,15037188
BWA,6947440
BRA,423806656
BRN,17327715
BGR,60836273
BFA,5891237
BDI,138086
CPV,592830
KHM,5351343
CMR,5713132
CAN,1168032843
CAF,112656
CHL,92355233
CHN,2271155217
HKG,197394704
MAC,6365517
COL,68366028
COM,12792
COG,5861582
CRI,22152574
HRV,26864980
CYP,3793814
CZE,645227498
CIV,11068398
DNK,203077133
DMA,279315
DOM,25780122
ECU,28993607
EGY,83303604
SLV,7276751
EST,26756672
ETH,33904930
FJI,4150462
FIN,108203936
FRA,1287583218
PYF,2413076
FSM,411244
GMB,52702
GEO,11303427
DEU,2848731826
GHA,18895793
GRC,27931794
GRL,704375
GTM,22717385
GUY,2629776
HND,7227703
HUN,330139068
ISL,8564431
IND,511200973
IDN,403731291
IRL,76561689
ISR,87017000
ITA,632191110
JAM,5149200
JPN,656813916
JOR,8674040
KAZ,75987659
KIR,59517
KGZ,5711720
LVA,17840532
LBN,12790077
LSO,1882515
LTU,45757852
LUX,25822758
MDG,3465939
MWI,1517765
MYS,281931266
MDV,6653538
MLI,6128511
MLT,3415831
MRT,233463
MUS,4172574
MEX,1839178487
MNE,3120212
MSR,39206
MAR,86905052
MOZ,12484806
NAM,10670341
NPL,4766329
NLD,681501169
NCL,7870586
NZL,71979105
NIC,8086853
NER,2031416
NGA,43319051
NOR,160418576
OMN,53662254
TWN,102778328
PAK,33345012
PLW,199501
PAN,17125093
PNG,29228490
PRY,10511031
PER,67272346
PHL,74845126
POL,506217757
PRT,107401442
KOR,362151488
MDA,5715603
ROU,259738657
RUS,481696025
RWA,2507857
LCA,868494
VCT,599689
WSM,733026
STP,92810
SAU,242962170
SEN,5116769
SRB,25965923
SYC,1578670
SGP,263624781
SVK,353324139
SVN,59576510
ZAF,130434178
ESP,660984217
LKA,22733033
PSE,2331512
SDN,8323055
SUR,4142460
SWE,356959482
CHE,361912434
MKD,5715633
THA,607922689
TGO,2011852
TON,768343
TTO,13161349
TUN,26140037
TUR,582947087
TCA,285007
UGA,2679513
UKR,53762410
ARE,214250054
GBR,1066397156
TZA,12915067
URY,10786839
USA,4045738216
VEN,52350066
VNM,241489033
YEM,2604915
ZMB,10828014
ZWE,12003941
GIN,1695329
KEN,16520925
KWT,37588296
MNG,5189102
QAT,60913369
TLS,484424
IRQ,29100472
SLE,1618699
SLB,1057370
MMR,31923222
